Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251107 15:20:19.497526,14,375,450,-1.407217,-5.103574,-0.299517,-16.707576,-0.019036,-0.036481,-10.426303,-0.025613
Sing,Metric,251106 12:59:22.059388,14,375,450,-1.363515,-4.670117,-0.318365,-15.670614,-0.017881,-0.02919,-10.426303,-0.022913
Sing,Metric,251107 15:20:50.606828,14,375,450,-1.316313,-4.123354,-0.307458,-14.711716,-0.018613,-0.034819,-10.426303,-0.024202
Sing,Metric,251107 15:21:00.493859,14,375,450,-1.352772,-3.597784,-0.297001,-13.739218,-0.019168,-0.036946,-10.426303,-0.024092
Sing,Metric,251107 15:21:11.250329,14,375,450,-1.235316,-3.082404,-0.273366,-12.646735,-0.017911,-0.037232,-10.426303,-0.024701
Sing,Metric,251107 15:21:22.720891,14,375,450,-1.055942,-2.580782,-0.249158,-11.676653,-0.018339,-0.035635,-10.426303,-0.024749
Sing,Metric,251107 15:21:35.192916,14,375,450,-0.902194,-2.150085,-0.228055,-10.751729,-0.018488,-0.038199,-10.426303,-0.025235
Sing,Metric,251107 15:21:48.922544,14,375,450,-0.722999,-1.700555,-0.206497,-9.73286,-0.017289,-0.036362,-10.426303,-0.024746
Sing,Metric,251107 15:22:01.984838,14,375,450,-0.546729,-1.202637,-0.183754,-8.724348,-0.017965,-0.03708,-10.426303,-0.023546
Sing,Metric,251107 15:22:16.777210,14,375,450,-0.351182,-0.627713,-0.156574,-7.658137,-0.017604,-0.033724,-10.426303,-0.024096
Sing,Metric,251107 15:22:46.761220,14,375,450,-0.174676,-0.135685,-0.132397,-6.74272,-0.016969,-0.033008,-10.426303,-0.026219
Sing,Metric,251107 15:22:59.649208,14,375,450,-0.038226,0.346704,-0.10741,-5.708242,-0.017928,-0.035659,-10.426303,-0.023084
Sing,Metric,251107 15:23:15.049585,14,375,450,0.117013,0.8395,-0.08223,-4.693539,-0.018662,-0.036795,-10.426303,-0.023656
Sing,Metric,251107 15:23:28.353015,14,375,450,0.24974,1.243529,-0.062892,-3.677717,-0.018404,-0.03667,-10.426303,-0.024717
Sing,Metric,251107 15:23:43.536608,14,375,450,0.380386,1.813039,-0.035553,-2.727606,-0.01875,-0.035201,-10.426303,-0.024283
Sing,Metric,251107 15:23:54.617044,14,375,450,0.497222,2.262706,-0.012296,-1.723298,-0.018282,-0.035746,-10.426303,-0.024182
Sing,Metric,251107 15:24:07.479671,14,375,450,0.62289,2.69061,0.00922,-0.711274,-0.017104,-0.032541,-10.426303,-0.024355
Sing,Metric,251107 15:24:23.627346,14,375,450,0.751293,3.137501,0.034594,0.330352,-0.018776,-0.035562,-10.426303,-0.023699
Sing,Metric,251107 15:24:42.352563,14,375,450,0.867342,3.618887,0.060868,1.365399,-0.018785,-0.03623,-10.426303,-0.024136
Sing,Metric,251107 15:24:58.001009,14,375,450,0.955753,4.037439,0.083945,2.278392,-0.018227,-0.035717,-10.426303,-0.024116
Sing,Metric,251107 15:25:11.185572,14,375,450,1.056999,4.460006,0.108833,3.298231,-0.018131,-0.031656,-10.426303,-0.022898
Sing,Metric,251107 15:25:25.888339,14,375,450,1.153649,4.829571,0.130968,4.336071,-0.019489,-0.032775,-10.426303,-0.023864
Sing,Metric,251107 15:25:51.577929,14,375,450,1.237531,5.291596,0.156622,5.256867,-0.019461,-0.032,-10.426303,-0.022746
Sing,Metric,251107 15:26:00.378928,14,375,450,1.320784,5.724617,0.180054,6.338113,-0.018384,-0.037043,-10.426303,-0.022672
Sing,Metric,251107 15:26:13.585814,14,375,450,1.3778,6.246763,0.207181,7.305277,-0.018564,-0.032469,-10.426303,-0.024854
Sing,Metric,251107 15:26:23.665433,14,375,450,1.46523,6.76698,0.23438,8.338296,-0.018771,-0.032816,-10.426303,-0.023393
Sing,Metric,251107 15:26:42.381761,14,375,450,1.525325,7.124006,0.25608,9.372018,-0.018488,-0.033434,-10.426303,-0.024078
Sing,Metric,251107 15:26:57.017570,14,375,450,1.580017,7.494195,0.275841,10.275802,-0.017469,-0.033454,-10.426303,-0.022076
Sing,Metric,251107 15:27:05.377168,14,375,450,1.631881,7.855536,0.298104,11.300789,-0.017864,-0.033548,-10.426303,-0.023593
Sing,Metric,251107 15:27:18.504169,14,375,450,1.700216,8.173971,0.318337,12.315066,-0.018365,-0.035037,-10.426303,-0.024986
Sing,Metric,251107 15:27:32.456550,14,375,450,1.742864,8.479164,0.33697,13.318923,-0.018931,-0.031698,-10.426303,-0.026402
Sing,Metric,251107 15:27:43.785918,14,375,450,1.775395,8.84886,0.361053,14.324671,-0.018781,-0.032009,-10.426303,-0.024227
Sing,Metric,251107 15:28:05.200334,14,375,450,1.811458,9.192114,0.381196,15.301692,-0.017934,-0.032838,-10.426303,-0.025193
Sing,Metric,251107 15:28:13.225870,14,375,450,1.824381,9.472938,0.399522,16.321956,-0.018464,-0.03248,-10.426303,-0.024644
Sing,Metric,251107 15:28:30.697887,14,375,450,1.866803,9.764852,0.419142,17.340974,-0.018031,-0.033819,-10.426303,-0.024193
Sing,Metric,251107 15:28:39.869270,14,375,450,1.874904,10.084344,0.437027,18.297345,-0.018666,-0.031316,-10.426303,-0.025194
