Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251108 10:37:43.915515,14,375,450,-1.624485,-0.938773,-0.08283,-16.587356,-0.01778,-0.0342,-10.426303,-0.025679
Sing,Metric,251108 10:37:49.422481,14,375,450,-1.518482,-0.920449,-0.087791,-15.701161,-0.017972,-0.035128,-10.426303,-0.026359
Sing,Metric,251108 10:37:53.366997,14,375,450,-1.408069,-0.862456,-0.088269,-14.662412,-0.018657,-0.03396,-10.426303,-0.026179
Sing,Metric,251108 10:37:57.670848,14,375,450,-1.323935,-0.807926,-0.08783,-13.603662,-0.017935,-0.036087,-10.426303,-0.02713
Sing,Metric,251108 10:38:01.955848,14,375,450,-1.21689,-0.727681,-0.084083,-12.669569,-0.019216,-0.035654,-10.426303,-0.027084
Sing,Metric,251108 10:38:06.502882,14,375,450,-1.105246,-0.661244,-0.078986,-11.561551,-0.017428,-0.033418,-10.426303,-0.026567
Sing,Metric,251108 10:38:10.393848,14,375,450,-0.972727,-0.598292,-0.072832,-10.552401,-0.018352,-0.034518,-10.426303,-0.026155
Sing,Metric,251108 10:38:15.470878,14,375,450,-0.864183,-0.524485,-0.066299,-9.795634,-0.017162,-0.036651,-10.426303,-0.025672
Sing,Metric,251108 10:38:20.518859,14,375,450,-0.750909,-0.481893,-0.061507,-8.736156,-0.016521,-0.036101,-10.426303,-0.025592
Sing,Metric,251108 10:38:24.958466,14,375,450,-0.618175,-0.389702,-0.053136,-7.679188,-0.018323,-0.035761,-10.426303,-0.026357
Sing,Metric,251108 10:38:29.463049,14,375,450,-0.49922,-0.318959,-0.04651,-6.678239,-0.017602,-0.035624,-10.426303,-0.027038
Sing,Metric,251108 10:38:34.434633,14,375,450,-0.37982,-0.246468,-0.039679,-5.758167,-0.018533,-0.03378,-10.426303,-0.026462
Sing,Metric,251108 10:38:39.286629,14,375,450,-0.247676,-0.157749,-0.031775,-4.723701,-0.018713,-0.032263,-10.426303,-0.026852
Sing,Metric,251108 10:38:43.255594,14,375,450,-0.107829,-0.024648,-0.021069,-3.548666,-0.018882,-0.034108,-10.426303,-0.025616
Sing,Metric,251108 10:38:48.366628,14,375,450,-0.007143,0.019327,-0.01602,-2.77733,-0.016864,-0.031529,-10.426303,-0.025446
Sing,Metric,251108 10:38:53.638604,14,375,450,0.120732,0.088543,-0.009422,-1.73993,-0.017889,-0.03263,-10.426303,-0.026623
Sing,Metric,251108 10:38:58.598176,14,375,450,0.264515,0.202008,0.000039,-0.440996,-0.018106,-0.034873,-10.426303,-0.027276
Sing,Metric,251108 10:39:06.035361,14,375,450,0.345091,0.304237,0.007669,0.151493,-0.018142,-0.033711,-10.426303,-0.025083
Sing,Metric,251108 10:39:10.846251,14,375,450,0.467575,0.424787,0.016217,1.334474,-0.017118,-0.033632,-10.426303,-0.026704
Sing,Metric,251108 10:39:15.302731,14,375,450,0.571359,0.541036,0.023835,2.328725,-0.01755,-0.034519,-10.426303,-0.02711
Sing,Metric,251108 10:39:19.485672,14,375,450,0.671902,0.629521,0.029864,3.259335,-0.017545,-0.035582,-10.426303,-0.027722
Sing,Metric,251108 10:39:25.318674,14,375,450,0.786438,0.760788,0.039262,4.28036,-0.018389,-0.036539,-10.426303,-0.026799
Sing,Metric,251108 10:39:29.398700,14,375,450,0.896929,0.906374,0.048725,5.336283,-0.017752,-0.034698,-10.426303,-0.026139
Sing,Metric,251108 10:39:34.246734,14,375,450,0.996583,1.01035,0.056294,6.283499,-0.019277,-0.034899,-10.426303,-0.025212
Sing,Metric,251108 10:39:38.774709,14,375,450,1.103139,1.150257,0.066878,7.272967,-0.017572,-0.035165,-10.426303,-0.026395
Sing,Metric,251108 10:39:43.617707,14,375,450,1.208045,1.297235,0.077701,8.29861,-0.017715,-0.03535,-10.426303,-0.026057
Sing,Metric,251108 10:39:47.743699,14,375,450,1.305095,1.422766,0.086269,9.337734,-0.017315,-0.033307,-10.426303,-0.027294
Sing,Metric,251108 10:39:52.622674,14,375,450,1.424726,1.520497,0.093458,10.299483,-0.018755,-0.034167,-10.426303,-0.025097
Sing,Metric,251108 10:39:58.855676,14,375,450,1.515082,1.609108,0.099641,11.248277,-0.017962,-0.035104,-10.426303,-0.025328
Sing,Metric,251108 10:40:03.614706,14,375,450,1.624111,1.791965,0.111854,12.372067,-0.018193,-0.033087,-10.426303,-0.025474
Sing,Metric,251108 10:40:07.826278,14,375,450,1.692155,1.919814,0.119934,13.277081,-0.018225,-0.03327,-10.426303,-0.025885
Sing,Metric,251108 10:40:13.774923,14,375,450,1.796864,2.052147,0.128688,14.34313,-0.018785,-0.035572,-10.426303,-0.02605
Sing,Metric,251108 10:40:18.862112,14,375,450,1.878607,2.189746,0.137716,15.372438,-0.016862,-0.035842,-10.426303,-0.025595
Sing,Metric,251108 10:40:23.622089,14,375,450,1.955356,2.325361,0.146403,16.278456,-0.018161,-0.034049,-10.426303,-0.025542
Sing,Metric,251108 10:40:29.062124,14,375,450,2.055314,2.439391,0.153876,17.339347,-0.018237,-0.035618,-10.426303,-0.025469
Sing,Metric,251108 10:40:35.118117,14,375,450,2.159651,2.610187,0.164391,18.218682,-0.019021,-0.036499,-10.426303,-0.025677
