alpha_deg,CL,dCL
-18.416283,-0.277334571621014,0.00152077543687449
-17.367099,-0.256806744622894,0.00149158066902415
-16.348099,-0.226806948407041,0.0014526574448582
-15.348634,-0.199759424278153,0.00142107423675896
-14.411075,-0.196645384876912,0.00141767736877963
-13.409237,-0.167227040614051,0.0013878340825199
-12.416236,-0.140025576325412,0.00136419466474922
-11.445141,-0.117307426685175,0.0013473414884898
-10.426781,-0.101019855659793,0.00133707134116183
-9.373116,-0.0728903277967445,0.00132281163354457
-8.364743,-0.0489624020724935,0.00131421967215602
-7.409803,-0.0336840936898339,0.00131048692698478
-6.407163,-0.00429139060064158,0.00130714605953107
-5.397699,0.0211622524578545,0.00130840327439588
-4.434174,0.0361709592921122,0.0013109553231044
-3.435953,0.0598008141264587,0.00131764369998262
-2.415447,0.0781712314954478,0.00132506612324357
-1.350022,0.100901342173786,0.0013369276352544
-0.356129,0.11273157249185,0.00134424170670804
0.551601,0.141585043594505,0.00136522345591937
1.586012,0.173164576113966,0.00139316060115543
2.62482,0.197802647967744,0.00141838014081402
3.604118,0.222297420169458,0.00144625020566369
4.637123,0.231093609145835,0.00145693177608731
5.597152,0.262797726142305,0.00149808271149853
6.618562,0.287165316293604,0.00153240486466034
7.62747,0.309309895518596,0.00156556824506128
8.559165,0.326880613104509,0.00159304252325342
9.569477,0.356556967060144,0.00164180049735424
10.606825,0.386635224789054,0.00169391871500484
11.602056,0.406493309161188,0.0017299181085239
12.631745,0.433920538108087,0.0017811530671185
13.575581,0.452163530460443,0.00181614010498355
14.60035,0.482253124698878,0.00187562332677392
15.622222,0.491606415990682,0.00189466975871249
16.554458,0.510671271315232,0.00193372413585535
